Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,,,0,cl,-1,-1,1,1
2,,,0,cl,-1,-1,1,1
3,,,0,cl,-1,-1,1,1
4,,,0,cl,-1,-1,1,1
5,,,0,cl,-1,-1,1,1
6,,,0,cl,-1,-1,1,1
7,,,0,cl,-1,-1,1,1
8,,,0,cl,-1,-1,1,1
9,-0.1335,0.00561,-23.7968,cl,-0.1335,-0.1335,0,0
10,-0.1199,0.00567,-21.1464,cl,-0.1199,-0.1199,0,0
11,,,0,cl,-1,-1,1,1
12,-0.1027,0.00564,-18.2092,cl,-0.1027,-0.1027,0,0
13,,,0,cl,-1,-1,1,1
14,,,0,cl,-1,-1,1,1
15,-0.1285,0.00576,-22.309,cl,-0.1285,-0.1285,0,0
16,,,0,cl,-1,-1,1,1
17,,,0,cl,-1,-1,1,1
18,-0.0865,0.00594,-14.5623,cl,-0.0865,-0.0865,0,0
19,,,0,cl,-1,-1,1,1
20,,,0,cl,-1,-1,1,1
21,-0.1709,0.00583,-29.3139,cl,-0.1709,-0.1709,0,0
22,-0.1353,0.00581,-23.2874,cl,-0.1353,-0.1353,0,0
23,,,0,cl,-1,-1,1,1
24,-0.1112,0.0072,-15.4444,cl,-0.1112,-0.1112,0,0
25,,,0,cl,-1,-1,1,1
26,,,0,cl,-1,-1,1,1
27,,,0,cl,-1,-1,1,1
28,,,0,cl,-1,-1,1,1
29,,,0,cl,-1,-1,1,1
30,,,0,cl,-1,-1,1,1
31,,,0,cl,-1,-1,1,1
32,,,0,cl,-1,-1,1,1
33,,,0,cl,-1,-1,1,1
34,,,0,cl,-1,-1,1,1
35,,,0,cl,-1,-1,1,1
36,,,0,cl,-1,-1,1,1
37,,,0,cl,-1,-1,1,1
38,,,0,cl,-1,-1,1,1
39,,,0,cl,-1,-1,1,1
40,,,0,cl,-1,-1,1,1
41,-0.1215,0.00645,-18.8372,cl,-0.1215,-0.1215,0,0
42,,,0,cl,-1,-1,1,1
43,,,0,cl,-1,-1,1,1
44,,,0,cl,-1,-1,1,1
45,,,0,cl,-1,-1,1,1
46,,,0,cl,-1,-1,1,1
47,,,0,cl,-1,-1,1,1
48,,,0,cl,-1,-1,1,1
49,-0.1763,0.00619,-28.4814,cl,-0.1763,-0.1763,0,0
50,,,0,cl,-1,-1,1,1
51,-0.12,0.00758,-15.8311,cl,-0.12,-0.12,0,0
52,,,0,cl,-1,-1,1,1
53,,,0,cl,-1,-1,1,1
54,,,0,cl,-1,-1,1,1
55,,,0,cl,-1,-1,1,1
56,,,0,cl,-1,-1,1,1
57,,,0,cl,-1,-1,1,1
58,,,0,cl,-1,-1,1,1
59,,,0,cl,-1,-1,1,1
60,,,0,cl,-1,-1,1,1
61,-0.0815,0.00642,-12.6947,cl,-0.0815,-0.0815,0,0
62,-0.0633,0.00589,-10.747,cl,-0.0633,-0.0633,0,0
63,,,0,cl,-1,-1,1,1
64,,,0,cl,-1,-1,1,1
