Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,,,0,cl_cd,-100,-100,1,1
2,1.048,0.01688,62.0853,cl_cd,62.0853,62.0853,0,0
3,1.044,0.01692,61.7021,cl_cd,61.7021,61.7021,0,0
4,,,0,cl_cd,-100,-100,1,1
5,1.034,0.01694,61.039,cl_cd,61.039,61.039,0,0
6,1.03,0.01703,60.4815,cl_cd,60.4815,60.4815,0,0
7,1.026,0.01714,59.86,cl_cd,59.86,59.86,0,0
8,1.022,0.0174,58.7356,cl_cd,58.7356,58.7356,0,0
9,1.013,0.01748,57.9519,cl_cd,57.9519,57.9519,0,0
10,,,0,cl_cd,-100,-100,1,1
11,1.009,0.01782,56.6218,cl_cd,56.6218,56.6218,0,0
12,1.017,0.01812,56.1258,cl_cd,56.1258,56.1258,0,0
13,1.015,0.01832,55.4039,cl_cd,55.4039,55.4039,0,0
14,1.007,0.01837,54.8176,cl_cd,54.8176,54.8176,0,0
15,0.9767,0.01863,52.4262,cl_cd,52.4262,52.4262,0,0
16,0.9903,0.01877,52.7597,cl_cd,52.7597,52.7597,0,0
17,0.9933,0.01873,53.0326,cl_cd,53.0326,53.0326,0,0
18,0.9902,0.01906,51.9517,cl_cd,51.9517,51.9517,0,0
19,0.9794,0.01936,50.5888,cl_cd,50.5888,50.5888,0,0
20,0.943,0.01923,49.038,cl_cd,49.038,49.038,0,0
21,0.9234,0.01914,48.2445,cl_cd,48.2445,48.2445,0,0
22,0.9247,0.0197,46.9391,cl_cd,46.9391,46.9391,0,0
23,0.895,0.01997,44.8172,cl_cd,44.8172,44.8172,0,0
24,0.8717,0.02035,42.8354,cl_cd,42.8354,42.8354,0,0
25,0.8525,0.02064,41.3033,cl_cd,41.3033,41.3033,0,0
26,1e-08,1e-08,1,cl_cd,1,1,0,0
27,1e-08,1e-08,1,cl_cd,1,1,0,0
28,1e-08,1e-08,1,cl_cd,1,1,0,0
29,1e-08,1e-08,1,cl_cd,1,1,0,0
30,1e-08,1e-08,1,cl_cd,1,1,0,0
31,1e-08,1e-08,1,cl_cd,1,1,0,0
32,1e-08,1e-08,1,cl_cd,1,1,0,0
33,,,0,cl_cd,-100,-100,1,1
34,1e-08,1e-08,1,cl_cd,1,1,0,0
35,,,0,cl_cd,-100,-100,1,1
36,1e-08,1e-08,1,cl_cd,1,1,0,0
37,,,0,cl_cd,-100,-100,1,1
38,,,0,cl_cd,-100,-100,1,1
