Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,,,0,cl_cd,-20,-20,1,1
2,1.07,0.01672,63.9952,cl_cd,63.9952,63.9952,0,0
3,1e-08,1e-08,1,cl_cd,1,1,0,0
4,1.095,0.01706,64.1852,cl_cd,64.1852,64.1852,0,0
5,1.111,0.01736,63.9977,cl_cd,63.9977,63.9977,0,0
6,1e-08,1e-08,1,cl_cd,1,1,0,0
7,1.121,0.01771,63.2976,cl_cd,63.2976,63.2976,0,0
8,1e-08,1e-08,1,cl_cd,1,1,0,0
9,,,0,cl_cd,-20,-20,1,1
10,,,0,cl_cd,-20,-20,1,1
11,1e-08,1e-08,1,cl_cd,1,1,0,0
12,1e-08,1e-08,1,cl_cd,1,1,0,0
13,1.069,0.01812,58.9956,cl_cd,58.9956,58.9956,0,0
14,1.055,0.018,58.6111,cl_cd,58.6111,58.6111,0,0
15,1e-08,1e-08,1,cl_cd,1,1,0,0
16,1.044,0.01835,56.8937,cl_cd,56.8937,56.8937,0,0
17,1.026,0.01812,56.6225,cl_cd,56.6225,56.6225,0,0
18,1.027,0.01829,56.1509,cl_cd,56.1509,56.1509,0,0
19,,,0,cl_cd,-20,-20,1,1
20,,,0,cl_cd,-20,-20,1,1
21,1e-08,1e-08,1,cl_cd,1,1,0,0
22,1e-08,1e-08,1,cl_cd,1,1,0,0
23,1e-08,1e-08,1,cl_cd,1,1,0,0
24,1e-08,1e-08,1,cl_cd,1,1,0,0
25,1e-08,1e-08,1,cl_cd,1,1,0,0
26,,,0,cl_cd,-20,-20,1,1
27,,,0,cl_cd,-20,-20,1,1
28,1e-08,1e-08,1,cl_cd,1,1,0,0
29,1e-08,1e-08,1,cl_cd,1,1,0,0
30,,,0,cl_cd,-20,-20,1,1
31,,,0,cl_cd,-20,-20,1,1n            
32,1e-08,1e-08,1,cl_cd,1,1,0,0
33,1e-08,1e-08,1,cl_cd,1,1,0,0
34,1e-08,1e-08,1,cl_cd,1,1,0,0
35,1e-08,1e-08,1,cl_cd,1,1,0,0
36,1e-08,1e-08,1,cl_cd,1,1,0,0
37,,,0,cl_cd,-20,-20,1,1
38,,,0,cl_cd,-20,-20,1,1
39,,,0,cl_cd,-20,-20,1,1
