Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
1,1.1286,0.01158,97.4611,cl_cd,97.4611,97.4611,0,0
2,1.1209,0.01178,95.1528,cl_cd,95.1528,95.1528,0,0
3,1.1046,0.01288,85.7609,cl_cd,85.7609,85.7609,0,0
4,1.101,0.01303,84.4973,cl_cd,84.4973,84.4973,0,0
5,1.1008,0.01297,84.8728,cl_cd,84.8728,84.8728,0,0
6,1.0937,0.01323,82.6682,cl_cd,82.6682,82.6682,0,0
7,,,0,cl_cd,-100,-100,1,1
8,1.0837,0.015,72.2467,cl_cd,72.2467,72.2467,0,0
9,1.0898,0.01513,72.0291,cl_cd,72.0291,72.0291,0,0
10,1.0944,0.01502,72.8628,cl_cd,72.8628,72.8628,0,0
11,1.0908,0.01528,71.3874,cl_cd,71.3874,71.3874,0,0
12,1.0979,0.01551,70.7866,cl_cd,70.7866,70.7866,0,0
13,,,0,cl_cd,-100,-100,1,1
14,,,0,cl_cd,-100,-100,1,1
15,,,0,cl_cd,-100,-100,1,1
16,1.0103,0.01621,62.3257,cl_cd,62.3257,62.3257,0,0
17,,,0,cl_cd,-100,-100,1,1
18,1.0231,0.01588,64.427,cl_cd,64.427,64.427,0,0
19,1.0017,0.01651,60.6723,cl_cd,60.6723,60.6723,0,0
20,,,0,cl_cd,-100,-100,1,1
21,,,0,cl_cd,-100,-100,1,1
22,,,0,cl_cd,-100,-100,1,1
23,,,0,cl_cd,-100,-100,1,1
24,,,0,cl_cd,-100,-100,1,1
25,,,0,cl_cd,-100,-100,1,1
26,,,0,cl_cd,-100,-100,1,1
27,,,0,cl_cd,-100,-100,1,1
28,,,0,cl_cd,-100,-100,1,1
29,,,0,cl_cd,-100,-100,1,1
30,,,0,cl_cd,-100,-100,1,1
31,,,0,cl_cd,-100,-100,1,1
32,,,0,cl_cd,-100,-100,1,1
33,,,0,cl_cd,-100,-100,1,1
34,,,0,cl_cd,-100,-100,1,1
35,,,0,cl_cd,-100,-100,1,1
36,,,0,cl_cd,-100,-100,1,1
37,,,0,cl_cd,-100,-100,1,1
38,,,0,cl_cd,-100,-100,1,1
39,,,0,cl_cd,-100,-100,1,1
40,,,0,cl_cd,-100,-100,1,1
41,,,0,cl_cd,-100,-100,1,1
42,,,0,cl_cd,-100,-100,1,1
43,,,0,cl_cd,-100,-100,1,1
44,,,0,cl_cd,-100,-100,1,1
45,,,0,cl_cd,-100,-100,1,1
46,,,0,cl_cd,-100,-100,1,1
47,,,0,cl_cd,-100,-100,1,1
48,,,0,cl_cd,-100,-100,1,1
49,,,0,cl_cd,-100,-100,1,1
50,,,0,cl_cd,-100,-100,1,1
51,,,0,cl_cd,-100,-100,1,1
52,,,0,cl_cd,-100,-100,1,1
53,,,0,cl_cd,-100,-100,1,1
54,,,0,cl_cd,-100,-100,1,1
55,,,0,cl_cd,-100,-100,1,1
56,,,0,cl_cd,-100,-100,1,1
57,,,0,cl_cd,-100,-100,1,1
58,,,0,cl_cd,-100,-100,1,1
59,,,0,cl_cd,-100,-100,1,1
60,,,0,cl_cd,-100,-100,1,1
61,,,0,cl_cd,-100,-100,1,1
62,,,0,cl_cd,-100,-100,1,1
63,,,0,cl_cd,-100,-100,1,1
64,,,0,cl_cd,-100,-100,1,1
65,,,0,cl_cd,-100,-100,1,1
66,,,0,cl_cd,-100,-100,1,1
67,,,0,cl_cd,-100,-100,1,1
68,,,0,cl_cd,-100,-100,1,1
69,,,0,cl_cd,-100,-100,1,1
70,,,0,cl_cd,-100,-100,1,1
71,,,0,cl_cd,-100,-100,1,1
72,,,0,cl_cd,-100,-100,1,1
73,,,0,cl_cd,-100,-100,1,1
74,,,0,cl_cd,-100,-100,1,1
75,,,0,cl_cd,-100,-100,1,1
76,,,0,cl_cd,-100,-100,1,1
77,,,0,cl_cd,-100,-100,1,1
78,,,0,cl_cd,-100,-100,1,1
79,,,0,cl_cd,-100,-100,1,1
80,,,0,cl_cd,-100,-100,1,1
81,,,0,cl_cd,-100,-100,1,1
82,,,0,cl_cd,-100,-100,1,1
83,,,0,cl_cd,-100,-100,1,1
84,,,0,cl_cd,-100,-100,1,1
85,,,0,cl_cd,-100,-100,1,1
86,,,0,cl_cd,-100,-100,1,1
87,,,0,cl_cd,-100,-100,1,1
88,,,0,cl_cd,-100,-100,1,1
89,,,0,cl_cd,-100,-100,1,1
90,,,0,cl_cd,-100,-100,1,1
91,,,0,cl_cd,-100,-100,1,1
92,,,0,cl_cd,-100,-100,1,1
93,,,0,cl_cd,-100,-100,1,1
94,,,0,cl_cd,-100,-100,1,1
95,,,0,cl_cd,-100,-100,1,1
96,,,0,cl_cd,-100,-100,1,1
97,,,0,cl_cd,-100,-100,1,1
98,,,0,cl_cd,-100,-100,1,1
99,,,0,cl_cd,-100,-100,1,1
100,,,0,cl_cd,-100,-100,1,1
101,,,0,cl_cd,-100,-100,1,1
102,,,0,cl_cd,-100,-100,1,1
103,,,0,cl_cd,-100,-100,1,1
104,,,0,cl_cd,-100,-100,1,1
105,,,0,cl_cd,-100,-100,1,1
106,,,0,cl_cd,-100,-100,1,1
107,,,0,cl_cd,-100,-100,1,1
108,,,0,cl_cd,-100,-100,1,1
109,,,0,cl_cd,-100,-100,1,1
110,,,0,cl_cd,-100,-100,1,1
111,,,0,cl_cd,-100,-100,1,1
112,,,0,cl_cd,-100,-100,1,1
113,,,0,cl_cd,-100,-100,1,1
114,,,0,cl_cd,-100,-100,1,1
115,,,0,cl_cd,-100,-100,1,1
116,,,0,cl_cd,-100,-100,1,1
117,,,0,cl_cd,-100,-100,1,1
118,,,0,cl_cd,-100,-100,1,1
119,,,0,cl_cd,-100,-100,1,1
120,,,0,cl_cd,-100,-100,1,1
121,,,0,cl_cd,-100,-100,1,1
122,,,0,cl_cd,-100,-100,1,1
123,,,0,cl_cd,-100,-100,1,1
124,,,0,cl_cd,-100,-100,1,1
125,,,0,cl_cd,-100,-100,1,1
126,,,0,cl_cd,-100,-100,1,1
127,,,0,cl_cd,-100,-100,1,1
128,,,0,cl_cd,-100,-100,1,1
129,,,0,cl_cd,-100,-100,1,1
130,,,0,cl_cd,-100,-100,1,1
131,,,0,cl_cd,-100,-100,1,1
132,,,0,cl_cd,-100,-100,1,1
133,,,0,cl_cd,-100,-100,1,1
134,,,0,cl_cd,-100,-100,1,1
135,,,0,cl_cd,-100,-100,1,1
136,,,0,cl_cd,-100,-100,1,1
137,,,0,cl_cd,-100,-100,1,1
138,,,0,cl_cd,-100,-100,1,1
139,,,0,cl_cd,-100,-100,1,1
140,,,0,cl_cd,-100,-100,1,1
141,,,0,cl_cd,-100,-100,1,1
